target,trajectory,length,seq_idx,guess,model,pLDDT,pTM,i_pTM,pAE,i_pAE
md1_block_af3,md1_block_af3_l72_s6692,72,1,0,2,0.796,0.805,0.131,0.795,0.914
md1_block_af3,md1_block_af3_l72_s6692,72,2,0,1,0.848,0.799,0.175,0.764,0.879
md1_block_af3,md1_block_af3_l72_s6692,72,2,0,2,0.855,0.805,0.133,0.787,0.908
md1_block_af3,md1_block_af3_l72_s6692,72,3,0,1,0.85,0.799,0.167,0.766,0.883
md1_block_af3,md1_block_af3_l72_s6692,72,3,0,2,0.733,0.805,0.133,0.801,0.916
md1_block_af3,md1_block_af3_l72_s6692,72,4,0,1,0.783,0.799,0.166,0.78,0.893
md1_block_af3,md1_block_af3_l72_s6692,72,4,0,2,0.729,0.806,0.134,0.802,0.915
md1_block_af3,md1_block_af3_l73_s203017,73,0,0,1,0.82,0.797,0.18,0.769,0.884
md1_block_af3,md1_block_af3_l73_s203017,73,0,0,2,0.81,0.804,0.124,0.797,0.915
md1_block_af3,md1_block_af3_l73_s203017,73,1,0,1,0.846,0.797,0.172,0.772,0.89
md1_block_af3,md1_block_af3_l73_s203017,73,1,0,2,0.837,0.804,0.116,0.803,0.926
md1_block_af3,md1_block_af3_l73_s203017,73,2,0,1,0.832,0.797,0.169,0.776,0.893
md1_block_af3,md1_block_af3_l73_s203017,73,2,0,2,0.835,0.804,0.121,0.795,0.916
md1_block_af3,md1_block_af3_l73_s203017,73,3,0,1,0.831,0.798,0.17,0.773,0.889
md1_block_af3,md1_block_af3_l73_s203017,73,3,0,2,0.827,0.804,0.12,0.804,0.925
md1_block_af3,md1_block_af3_l73_s203017,73,4,0,1,0.859,0.798,0.174,0.768,0.885
md1_block_af3,md1_block_af3_l73_s203017,73,4,0,2,0.855,0.804,0.123,0.795,0.916
md1_block_af3,md1_block_af3_l76_s316768,76,0,0,1,0.9,0.794,0.171,0.754,0.877
md1_block_af3,md1_block_af3_l76_s316768,76,0,0,2,0.906,0.801,0.133,0.772,0.9
md1_block_af3,md1_block_af3_l76_s316768,76,1,0,1,0.899,0.794,0.169,0.758,0.881
md1_block_af3,md1_block_af3_l76_s316768,76,1,0,2,0.899,0.801,0.132,0.778,0.906
md1_block_af3,md1_block_af3_l76_s316768,76,2,0,1,0.75,0.794,0.162,0.787,0.898
md1_block_af3,md1_block_af3_l76_s316768,76,2,0,2,0.761,0.801,0.133,0.8,0.916
md1_block_af3,md1_block_af3_l76_s316768,76,3,0,1,0.903,0.796,0.169,0.752,0.875
md1_block_af3,md1_block_af3_l76_s316768,76,3,0,2,0.9,0.805,0.153,0.749,0.872
md1_block_af3,md1_block_af3_l76_s316768,76,4,0,1,0.899,0.793,0.169,0.757,0.88
md1_block_af3,md1_block_af3_l76_s316768,76,4,0,2,0.902,0.8,0.127,0.783,0.913
md1_block_af3,md1_block_af3_l79_s263174,79,0,0,1,0.749,0.791,0.174,0.766,0.879
md1_block_af3,md1_block_af3_l79_s263174,79,0,0,2,0.756,0.805,0.174,0.738,0.848
md1_block_af3,md1_block_af3_l79_s263174,79,1,0,1,0.821,0.79,0.166,0.76,0.879
md1_block_af3,md1_block_af3_l79_s263174,79,1,0,2,0.814,0.801,0.157,0.755,0.875
md1_block_af3,md1_block_af3_l79_s263174,79,2,0,1,0.776,0.789,0.162,0.774,0.892
md1_block_af3,md1_block_af3_l79_s263174,79,2,0,2,0.751,0.8,0.15,0.768,0.883
md1_block_af3,md1_block_af3_l79_s263174,79,3,0,1,0.76,0.792,0.183,0.757,0.869
md1_block_af3,md1_block_af3_l79_s263174,79,3,0,2,0.792,0.8,0.154,0.763,0.88
md1_block_af3,md1_block_af3_l79_s263174,79,4,0,1,0.704,0.791,0.167,0.779,0.887
md1_block_af3,md1_block_af3_l79_s263174,79,4,0,2,0.727,0.801,0.149,0.777,0.889
md1_block_af3,md1_block_af3_l82_s806489,82,0,0,1,0.849,0.785,0.167,0.76,0.887
md1_block_af3,md1_block_af3_l82_s806489,82,0,0,2,0.859,0.793,0.136,0.773,0.904
md1_block_af3,md1_block_af3_l82_s806489,82,1,0,1,0.89,0.785,0.171,0.75,0.882
md1_block_af3,md1_block_af3_l82_s806489,82,1,0,2,0.876,0.795,0.149,0.755,0.886
md1_block_af3,md1_block_af3_l82_s806489,82,2,0,1,0.844,0.786,0.173,0.752,0.878
md1_block_af3,md1_block_af3_l82_s806489,82,2,0,2,0.83,0.794,0.145,0.767,0.894
md1_block_af3,md1_block_af3_l82_s806489,82,3,0,1,0.837,0.785,0.168,0.76,0.886
md1_block_af3,md1_block_af3_l82_s806489,82,3,0,2,0.851,0.793,0.142,0.769,0.899
md1_block_af3,md1_block_af3_l82_s806489,82,4,0,1,0.774,0.785,0.173,0.767,0.888
md1_block_af3,md1_block_af3_l82_s806489,82,4,0,2,0.645,0.793,0.143,0.798,0.908
md1_block_af3,md1_block_af3_l85_s940942,85,0,0,1,0.926,0.784,0.178,0.735,0.871
md1_block_af3,md1_block_af3_l85_s940942,85,0,0,2,0.915,0.793,0.147,0.743,0.88
md1_block_af3,md1_block_af3_l85_s940942,85,1,0,1,0.867,0.784,0.184,0.737,0.869
md1_block_af3,md1_block_af3_l85_s940942,85,1,0,2,0.82,0.792,0.149,0.755,0.887
md1_block_af3,md1_block_af3_l85_s940942,85,2,0,1,0.896,0.784,0.182,0.737,0.87
md1_block_af3,md1_block_af3_l85_s940942,85,2,0,2,0.882,0.792,0.144,0.751,0.888
md1_block_af3,md1_block_af3_l85_s940942,85,3,0,1,0.884,0.784,0.179,0.74,0.873
md1_block_af3,md1_block_af3_l85_s940942,85,3,0,2,0.881,0.793,0.155,0.738,0.872
md1_block_af3,md1_block_af3_l85_s940942,85,4,0,1,0.859,0.783,0.182,0.745,0.876
md1_block_af3,md1_block_af3_l85_s940942,85,4,0,2,0.803,0.792,0.145,0.76,0.889
md1_block_af3,md1_block_af3_l85_s132679,85,0,0,1,0.875,0.792,0.218,0.701,0.826
md1_block_af3,md1_block_af3_l85_s132679,85,0,0,2,0.87,0.808,0.244,0.635,0.746
md1_block_af3,md1_block_af3_l85_s132679,85,1,0,1,0.884,0.798,0.253,0.665,0.783
md1_block_af3,md1_block_af3_l85_s132679,85,1,0,2,0.844,0.827,0.343,0.549,0.64
md1_block_af3,md1_block_af3_l85_s132679,85,2,0,1,0.824,0.813,0.33,0.611,0.712
md1_block_af3,md1_block_af3_l85_s132679,85,2,0,2,0.847,0.895,0.737,0.319,0.362
md1_block_af3,md1_block_af3_l85_s132679,85,3,0,1,0.863,0.796,0.246,0.677,0.795
md1_block_af3,md1_block_af3_l85_s132679,85,3,0,2,0.856,0.898,0.754,0.301,0.342
md1_block_af3,md1_block_af3_l85_s132679,85,4,0,1,0.877,0.795,0.229,0.687,0.809
md1_block_af3,md1_block_af3_l85_s132679,85,4,0,2,0.512,0.789,0.129,0.833,0.924
md1_block_af3,md1_block_af3_l91_s212149,91,0,0,1,0.846,0.777,0.178,0.742,0.88
md1_block_af3,md1_block_af3_l91_s212149,91,0,0,2,0.833,0.785,0.152,0.748,0.887
md1_block_af3,md1_block_af3_l91_s212149,91,1,0,1,0.864,0.777,0.183,0.734,0.873
md1_block_af3,md1_block_af3_l91_s212149,91,1,0,2,0.888,0.784,0.144,0.745,0.89
md1_block_af3,md1_block_af3_l91_s212149,91,2,0,1,0.859,0.777,0.18,0.735,0.873
md1_block_af3,md1_block_af3_l91_s212149,91,2,0,2,0.844,0.786,0.159,0.734,0.871
md1_block_af3,md1_block_af3_l91_s212149,91,3,0,1,0.875,0.777,0.185,0.731,0.869
md1_block_af3,md1_block_af3_l91_s212149,91,3,0,2,0.871,0.784,0.141,0.749,0.892
md1_block_af3,md1_block_af3_l91_s212149,91,4,0,1,0.871,0.776,0.177,0.737,0.877
md1_block_af3,md1_block_af3_l91_s212149,91,4,0,2,0.858,0.784,0.149,0.742,0.883
md1_block_af3,md1_block_af3_l93_s322047,93,0,0,1,0.92,0.778,0.193,0.711,0.854
md1_block_af3,md1_block_af3_l93_s322047,93,0,0,2,0.928,0.782,0.148,0.733,0.882
md1_block_af3,md1_block_af3_l93_s322047,93,1,0,1,0.645,0.777,0.189,0.764,0.876
md1_block_af3,md1_block_af3_l93_s322047,93,1,0,2,0.869,0.78,0.143,0.744,0.888
md1_block_af3,md1_block_af3_l93_s322047,93,2,0,1,0.913,0.777,0.184,0.72,0.864
md1_block_af3,md1_block_af3_l93_s322047,93,2,0,2,0.922,0.781,0.14,0.742,0.892
md1_block_af3,md1_block_af3_l93_s322047,93,3,0,1,0.922,0.776,0.176,0.721,0.867
md1_block_af3,md1_block_af3_l93_s322047,93,3,0,2,0.915,0.782,0.151,0.734,0.882
md1_block_af3,md1_block_af3_l93_s322047,93,4,0,1,0.921,0.778,0.196,0.714,0.857
md1_block_af3,md1_block_af3_l93_s322047,93,4,0,2,0.921,0.782,0.149,0.735,0.884
md1_block_af3,md1_block_af3_l93_s196942,93,0,0,1,0.835,0.775,0.187,0.737,0.876
md1_block_af3,md1_block_af3_l93_s196942,93,0,0,2,0.798,0.779,0.131,0.773,0.918
md1_block_af3,md1_block_af3_l93_s196942,93,1,0,1,0.826,0.773,0.168,0.75,0.892
md1_block_af3,md1_block_af3_l93_s196942,93,1,0,2,0.82,0.779,0.13,0.769,0.915
md1_block_af3,md1_block_af3_l93_s196942,93,2,0,1,0.825,0.779,0.208,0.723,0.859
md1_block_af3,md1_block_af3_l93_s196942,93,2,0,2,0.847,0.782,0.172,0.726,0.865
md1_block_af3,md1_block_af3_l93_s196942,93,3,0,1,0.878,0.772,0.179,0.739,0.885
md1_block_af3,md1_block_af3_l93_s196942,93,3,0,2,0.888,0.779,0.133,0.755,0.906
md1_block_af3,md1_block_af3_l93_s196942,93,4,0,1,0.889,0.775,0.183,0.736,0.88
md1_block_af3,md1_block_af3_l93_s196942,93,4,0,2,0.877,0.779,0.131,0.763,0.914
md1_block_af3,md1_block_af3_l94_s405924,94,0,0,1,0.853,0.775,0.187,0.727,0.866
md1_block_af3,md1_block_af3_l94_s405924,94,0,0,2,0.85,0.784,0.169,0.728,0.868
md1_block_af3,md1_block_af3_l94_s405924,94,1,0,1,0.822,0.806,0.339,0.621,0.733
md1_block_af3,md1_block_af3_l94_s405924,94,1,0,2,0.821,0.826,0.375,0.553,0.652
md1_block_af3,md1_block_af3_l94_s405924,94,2,0,1,0.867,0.774,0.175,0.734,0.877
md1_block_af3,md1_block_af3_l94_s405924,94,2,0,2,0.864,0.797,0.23,0.654,0.78
md1_block_af3,md1_block_af3_l94_s405924,94,3,0,1,0.877,0.775,0.187,0.724,0.865
md1_block_af3,md1_block_af3_l94_s405924,94,3,0,2,0.842,0.873,0.631,0.412,0.48
md1_block_af3,md1_block_af3_l94_s405924,94,4,0,1,0.877,0.774,0.179,0.73,0.873
md1_block_af3,md1_block_af3_l94_s405924,94,4,0,2,0.881,0.785,0.168,0.717,0.859
md1_block_af3,md1_block_af3_l95_s871742,95,0,0,1,0.796,0.772,0.164,0.756,0.89
md1_block_af3,md1_block_af3_l95_s871742,95,0,0,2,0.773,0.781,0.153,0.753,0.882
md1_block_af3,md1_block_af3_l95_s871742,95,1,0,1,0.767,0.771,0.167,0.769,0.898
md1_block_af3,md1_block_af3_l95_s871742,95,1,0,2,0.792,0.777,0.135,0.77,0.909
md1_block_af3,md1_block_af3_l95_s871742,95,2,0,1,0.756,0.771,0.167,0.764,0.891
md1_block_af3,md1_block_af3_l95_s871742,95,2,0,2,0.743,0.777,0.133,0.782,0.914
md1_block_af3,md1_block_af3_l95_s871742,95,3,0,1,0.748,0.772,0.171,0.763,0.888
md1_block_af3,md1_block_af3_l95_s871742,95,3,0,2,0.772,0.778,0.139,0.772,0.908
md1_block_af3,md1_block_af3_l95_s871742,95,4,0,1,0.771,0.771,0.166,0.762,0.891
md1_block_af3,md1_block_af3_l95_s871742,95,4,0,2,0.819,0.778,0.137,0.764,0.906
md1_block_af3,md1_block_af3_l100_s435017,100,0,0,1,0.781,0.763,0.155,0.75,0.905
md1_block_af3,md1_block_af3_l100_s435017,100,0,0,2,0.863,0.782,0.186,0.69,0.831
md1_block_af3,md1_block_af3_l100_s435017,100,1,0,1,0.715,0.767,0.18,0.749,0.881
md1_block_af3,md1_block_af3_l100_s435017,100,1,0,2,0.671,0.775,0.165,0.749,0.878
md1_block_af3,md1_block_af3_l100_s435017,100,2,0,1,0.722,0.768,0.174,0.753,0.883
md1_block_af3,md1_block_af3_l100_s435017,100,2,0,2,0.872,0.779,0.17,0.704,0.848
md1_block_af3,md1_block_af3_l100_s435017,100,3,0,1,0.876,0.77,0.188,0.714,0.861
md1_block_af3,md1_block_af3_l100_s435017,100,3,0,2,0.852,0.784,0.197,0.675,0.811
md1_block_af3,md1_block_af3_l100_s435017,100,4,0,1,0.842,0.768,0.175,0.735,0.883
md1_block_af3,md1_block_af3_l100_s435017,100,4,0,2,0.737,0.776,0.158,0.739,0.875
md1_block_af3,md1_block_af3_l101_s822108,101,0,0,1,0.866,0.766,0.174,0.731,0.881
md1_block_af3,md1_block_af3_l101_s822108,101,0,0,2,0.871,0.774,0.158,0.725,0.878
md1_block_af3,md1_block_af3_l101_s822108,101,1,0,1,0.855,0.766,0.176,0.731,0.879
md1_block_af3,md1_block_af3_l101_s822108,101,1,0,2,0.852,0.775,0.164,0.725,0.872
md1_block_af3,md1_block_af3_l101_s822108,101,2,0,1,0.834,0.766,0.181,0.732,0.878
md1_block_af3,md1_block_af3_l101_s822108,101,2,0,2,0.832,0.775,0.16,0.725,0.872
md1_block_af3,md1_block_af3_l101_s822108,101,3,0,1,0.805,0.765,0.171,0.744,0.892
md1_block_af3,md1_block_af3_l101_s822108,101,3,0,2,0.825,0.773,0.151,0.739,0.89
md1_block_af3,md1_block_af3_l101_s822108,101,4,0,1,0.847,0.767,0.179,0.732,0.878
md1_block_af3,md1_block_af3_l101_s822108,101,4,0,2,0.855,0.774,0.157,0.731,0.882
md1_block_af3,md1_block_af3_l103_s579177,103,0,0,1,0.83,0.762,0.166,0.743,0.889
md1_block_af3,md1_block_af3_l103_s579177,103,0,0,2,0.832,0.772,0.153,0.732,0.878
md1_block_af3,md1_block_af3_l103_s579177,103,1,0,1,0.815,0.763,0.163,0.747,0.891
md1_block_af3,md1_block_af3_l103_s579177,103,1,0,2,0.861,0.77,0.14,0.742,0.894
md1_block_af3,md1_block_af3_l103_s579177,103,2,0,1,0.835,0.764,0.162,0.742,0.89
md1_block_af3,md1_block_af3_l103_s579177,103,2,0,2,0.844,0.772,0.153,0.731,0.88
md1_block_af3,md1_block_af3_l103_s579177,103,3,0,1,0.856,0.762,0.162,0.741,0.89
md1_block_af3,md1_block_af3_l103_s579177,103,3,0,2,0.86,0.772,0.15,0.73,0.88
md1_block_af3,md1_block_af3_l103_s579177,103,4,0,1,0.622,0.763,0.166,0.78,0.899
md1_block_af3,md1_block_af3_l103_s579177,103,4,0,2,0.678,0.771,0.148,0.768,0.897
md1_block_af3,md1_block_af3_l106_s329171,106,0,0,1,0.792,0.774,0.247,0.677,0.81
md1_block_af3,md1_block_af3_l106_s329171,106,0,0,2,0.79,0.779,0.213,0.676,0.81
md1_block_af3,md1_block_af3_l106_s329171,106,1,0,1,0.808,0.812,0.424,0.552,0.657
md1_block_af3,md1_block_af3_l106_s329171,106,1,0,2,0.845,0.806,0.339,0.558,0.671
md1_block_af3,md1_block_af3_l106_s329171,106,2,0,1,0.813,0.849,0.602,0.44,0.516
md1_block_af3,md1_block_af3_l106_s329171,106,2,0,2,0.842,0.821,0.407,0.513,0.614
md1_block_af3,md1_block_af3_l106_s329171,106,3,0,1,0.819,0.855,0.622,0.427,0.499
md1_block_af3,md1_block_af3_l106_s329171,106,3,0,2,0.817,0.874,0.653,0.37,0.429
md1_block_af3,md1_block_af3_l106_s329171,106,4,0,1,0.819,0.786,0.296,0.634,0.76
md1_block_af3,md1_block_af3_l106_s329171,106,4,0,2,0.83,0.786,0.24,0.638,0.77
md1_block_af3,md1_block_af3_l106_s391239,106,0,0,1,0.767,0.76,0.182,0.74,0.886
md1_block_af3,md1_block_af3_l106_s391239,106,0,0,2,0.644,0.763,0.134,0.789,0.925
md1_block_af3,md1_block_af3_l106_s391239,106,1,0,1,0.802,0.762,0.186,0.731,0.879
md1_block_af3,md1_block_af3_l106_s391239,106,1,0,2,0.712,0.766,0.151,0.76,0.901
md1_block_af3,md1_block_af3_l106_s391239,106,2,0,1,0.788,0.772,0.234,0.696,0.832
md1_block_af3,md1_block_af3_l106_s391239,106,2,0,2,0.798,0.767,0.15,0.742,0.891
md1_block_af3,md1_block_af3_l106_s391239,106,3,0,1,0.824,0.76,0.177,0.736,0.888
md1_block_af3,md1_block_af3_l106_s391239,106,3,0,2,0.84,0.766,0.148,0.737,0.894
md1_block_af3,md1_block_af3_l106_s391239,106,4,0,1,0.736,0.771,0.236,0.704,0.835
md1_block_af3,md1_block_af3_l106_s391239,106,4,0,2,0.781,0.806,0.34,0.59,0.701
md1_block_af3,md1_block_af3_l106_s979479,106,0,0,1,0.826,0.757,0.167,0.739,0.891
md1_block_af3,md1_block_af3_l106_s979479,106,0,0,2,0.841,0.768,0.158,0.718,0.871
md1_block_af3,md1_block_af3_l106_s979479,106,1,0,1,0.426,0.758,0.17,0.816,0.902
md1_block_af3,md1_block_af3_l106_s979479,106,1,0,2,0.564,0.762,0.134,0.808,0.926
md1_block_af3,md1_block_af3_l106_s979479,106,2,0,1,0.858,0.756,0.16,0.738,0.895
md1_block_af3,md1_block_af3_l106_s979479,106,2,0,2,0.856,0.766,0.15,0.724,0.88
md1_block_af3,md1_block_af3_l106_s979479,106,3,0,1,0.781,0.756,0.166,0.746,0.895
md1_block_af3,md1_block_af3_l106_s979479,106,3,0,2,0.752,0.766,0.154,0.74,0.884
md1_block_af3,md1_block_af3_l106_s979479,106,4,0,1,0.812,0.757,0.167,0.739,0.891
md1_block_af3,md1_block_af3_l106_s979479,106,4,0,2,0.491,0.761,0.127,0.83,0.938
md1_block_af3,md1_block_af3_l107_s119365,107,0,0,1,0.915,0.767,0.21,0.683,0.839
md1_block_af3,md1_block_af3_l107_s119365,107,0,0,2,0.931,0.771,0.173,0.688,0.848
md1_block_af3,md1_block_af3_l107_s119365,107,1,0,1,0.916,0.78,0.274,0.635,0.779
md1_block_af3,md1_block_af3_l107_s119365,107,1,0,2,0.941,0.773,0.18,0.679,0.838
md1_block_af3,md1_block_af3_l107_s119365,107,2,0,1,0.89,0.777,0.251,0.654,0.799
md1_block_af3,md1_block_af3_l107_s119365,107,2,0,2,0.928,0.768,0.152,0.715,0.882
md1_block_af3,md1_block_af3_l107_s119365,107,3,0,1,0.91,0.771,0.224,0.671,0.824
md1_block_af3,md1_block_af3_l107_s119365,107,3,0,2,0.926,0.776,0.193,0.668,0.823
md1_block_af3,md1_block_af3_l107_s119365,107,4,0,1,0.888,0.779,0.261,0.644,0.787
md1_block_af3,md1_block_af3_l107_s119365,107,4,0,2,0.922,0.773,0.177,0.684,0.842
md1_block_af3,md1_block_af3_l107_s377822,107,0,0,1,0.893,0.791,0.329,0.597,0.73
md1_block_af3,md1_block_af3_l107_s377822,107,0,0,2,0.9,0.818,0.395,0.503,0.614
md1_block_af3,md1_block_af3_l107_s377822,107,1,0,1,0.907,0.777,0.265,0.641,0.787
md1_block_af3,md1_block_af3_l107_s377822,107,1,0,2,0.9,0.822,0.406,0.489,0.596
md1_block_af3,md1_block_af3_l107_s377822,107,2,0,1,0.911,0.772,0.239,0.66,0.81
md1_block_af3,md1_block_af3_l107_s377822,107,2,0,2,0.893,0.85,0.55,0.405,0.489
md1_block_af3,md1_block_af3_l107_s377822,107,3,0,1,0.863,0.771,0.241,0.67,0.816
md1_block_af3,md1_block_af3_l107_s377822,107,3,0,2,0.83,0.777,0.211,0.666,0.809
md1_block_af3,md1_block_af3_l107_s377822,107,4,0,1,0.905,0.783,0.291,0.62,0.76
md1_block_af3,md1_block_af3_l107_s377822,107,4,0,2,0.883,0.836,0.472,0.453,0.548
md1_block_af3,md1_block_af3_l108_s442364,108,0,0,1,0.849,0.765,0.21,0.692,0.841
md1_block_af3,md1_block_af3_l108_s442364,108,0,0,2,0.863,0.777,0.2,0.668,0.813
md1_block_af3,md1_block_af3_l108_s442364,108,1,0,1,0.849,0.765,0.212,0.688,0.837
md1_block_af3,md1_block_af3_l108_s442364,108,1,0,2,0.667,0.765,0.157,0.753,0.887
md1_block_af3,md1_block_af3_l108_s442364,108,2,0,1,0.876,0.764,0.206,0.689,0.838
md1_block_af3,md1_block_af3_l108_s442364,108,2,0,2,0.593,0.765,0.162,0.77,0.892
md1_block_af3,md1_block_af3_l108_s442364,108,3,0,1,0.831,0.758,0.175,0.725,0.875
md1_block_af3,md1_block_af3_l108_s442364,108,3,0,2,0.7,0.766,0.163,0.742,0.882
md1_block_af3,md1_block_af3_l108_s442364,108,4,0,1,0.851,0.758,0.177,0.717,0.872
md1_block_af3,md1_block_af3_l108_s442364,108,4,0,2,0.837,0.767,0.165,0.716,0.87
md1_block_af3,md1_block_af3_l109_s223790,109,0,0,1,0.653,0.757,0.181,0.769,0.895
md1_block_af3,md1_block_af3_l109_s223790,109,0,0,2,0.745,0.768,0.172,0.719,0.862
md1_block_af3,md1_block_af3_l109_s223790,109,1,0,1,0.493,0.757,0.188,0.798,0.9
md1_block_af3,md1_block_af3_l109_s223790,109,1,0,2,0.815,0.763,0.157,0.721,0.877
md1_block_af3,md1_block_af3_l109_s223790,109,2,0,1,0.65,0.756,0.167,0.768,0.903
md1_block_af3,md1_block_af3_l109_s223790,109,2,0,2,0.73,0.766,0.17,0.727,0.867
md1_block_af3,md1_block_af3_l109_s223790,109,3,0,1,0.824,0.758,0.183,0.727,0.884
md1_block_af3,md1_block_af3_l109_s223790,109,3,0,2,0.823,0.768,0.171,0.712,0.866
md1_block_af3,md1_block_af3_l109_s223790,109,4,0,1,0.575,0.756,0.183,0.785,0.904
md1_block_af3,md1_block_af3_l109_s223790,109,4,0,2,0.686,0.762,0.154,0.753,0.895
md1_block_af3,md1_block_af3_l109_s539754,109,0,0,1,0.696,0.76,0.204,0.733,0.866
md1_block_af3,md1_block_af3_l109_s539754,109,0,0,2,0.724,0.771,0.178,0.713,0.847
md1_block_af3,md1_block_af3_l109_s539754,109,1,0,1,0.79,0.76,0.202,0.72,0.861
md1_block_af3,md1_block_af3_l109_s539754,109,1,0,2,0.797,0.769,0.173,0.709,0.852
md1_block_af3,md1_block_af3_l109_s539754,109,2,0,1,0.776,0.763,0.219,0.707,0.846
md1_block_af3,md1_block_af3_l109_s539754,109,2,0,2,0.773,0.771,0.179,0.699,0.841
md1_block_af3,md1_block_af3_l109_s539754,109,3,0,1,0.797,0.765,0.226,0.694,0.833
md1_block_af3,md1_block_af3_l109_s539754,109,3,0,2,0.786,0.77,0.178,0.698,0.841
md1_block_af3,md1_block_af3_l109_s539754,109,4,0,1,0.736,0.762,0.211,0.719,0.856
md1_block_af3,md1_block_af3_l109_s539754,109,4,0,2,0.702,0.768,0.165,0.736,0.872
md1_block_af3,md1_block_af3_l110_s952455,110,0,0,1,0.818,0.758,0.181,0.727,0.878
md1_block_af3,md1_block_af3_l110_s952455,110,0,0,2,0.775,0.767,0.165,0.724,0.869
md1_block_af3,md1_block_af3_l110_s952455,110,1,0,1,0.846,0.758,0.184,0.72,0.877
md1_block_af3,md1_block_af3_l110_s952455,110,1,0,2,0.832,0.765,0.155,0.721,0.878
md1_block_af3,md1_block_af3_l110_s952455,110,2,0,1,0.777,0.757,0.178,0.738,0.884
md1_block_af3,md1_block_af3_l110_s952455,110,2,0,2,0.768,0.768,0.169,0.723,0.866
md1_block_af3,md1_block_af3_l110_s952455,110,3,0,1,0.775,0.756,0.173,0.742,0.887
md1_block_af3,md1_block_af3_l110_s952455,110,3,0,2,0.769,0.762,0.148,0.75,0.899
md1_block_af3,md1_block_af3_l110_s952455,110,4,0,1,0.785,0.758,0.179,0.735,0.884
md1_block_af3,md1_block_af3_l110_s952455,110,4,0,2,0.794,0.769,0.171,0.71,0.857
md1_block_af3,md1_block_af3_l111_s379109,111,0,0,1,0.935,0.758,0.189,0.694,0.861
md1_block_af3,md1_block_af3_l111_s379109,111,0,0,2,0.935,0.766,0.173,0.679,0.844
md1_block_af3,md1_block_af3_l111_s379109,111,1,0,1,0.926,0.759,0.186,0.697,0.863
md1_block_af3,md1_block_af3_l111_s379109,111,1,0,2,0.927,0.769,0.182,0.673,0.835
md1_block_af3,md1_block_af3_l111_s379109,111,2,0,1,0.911,0.758,0.187,0.696,0.859
md1_block_af3,md1_block_af3_l111_s379109,111,2,0,2,0.907,0.769,0.183,0.677,0.836
md1_block_af3,md1_block_af3_l111_s379109,111,3,0,1,0.931,0.758,0.184,0.697,0.863
md1_block_af3,md1_block_af3_l111_s379109,111,3,0,2,0.924,0.775,0.215,0.648,0.802
md1_block_af3,md1_block_af3_l111_s379109,111,4,0,1,0.938,0.758,0.185,0.695,0.862
md1_block_af3,md1_block_af3_l111_s379109,111,4,0,2,0.938,0.767,0.172,0.683,0.848
md1_block_af3,md1_block_af3_l113_s311475,113,0,0,1,0.837,0.78,0.287,0.637,0.773
md1_block_af3,md1_block_af3_l113_s311475,113,0,0,2,0.833,0.861,0.609,0.404,0.478
